family,dim,n_train,seed,model,nrmse,time,error
kinematic,1,300,0,tabicl_released,1.0211244207003867,0.20711565017700195,
kinematic,1,300,0,tabicl_m,1.0006526520922914,0.27151060104370117,
kinematic,1,300,1,tabicl_released,1.002476743636967,0.20279765129089355,
kinematic,1,300,1,tabicl_m,1.0022212402154158,0.27025723457336426,
kinematic,1,300,2,tabicl_released,1.0060932984168536,0.20244169235229492,
kinematic,1,300,2,tabicl_m,1.003934536775262,0.26708173751831055,
kinematic,1,1000,0,tabicl_released,1.0060762534671166,0.2250659465789795,
kinematic,1,1000,0,tabicl_m,1.0032516640622695,0.290499210357666,
kinematic,1,1000,1,tabicl_released,1.0016666528950982,0.2266862392425537,
kinematic,1,1000,1,tabicl_m,1.0006665498351508,0.29100799560546875,
kinematic,1,1000,2,tabicl_released,1.0010810312344396,0.2675349712371826,
kinematic,1,1000,2,tabicl_m,0.9997033601919969,0.2916085720062256,
kinematic,1,3000,0,tabicl_released,1.0022491594791296,0.228226900100708,
kinematic,1,3000,0,tabicl_m,1.002139334315486,0.29666924476623535,
kinematic,1,3000,1,tabicl_released,1.0025522969803407,0.2311081886291504,
kinematic,1,3000,1,tabicl_m,1.0001901545574847,0.2964038848876953,
kinematic,1,3000,2,tabicl_released,1.0006727548541625,0.22958636283874512,
kinematic,1,3000,2,tabicl_m,1.0004120964778438,0.29682207107543945,
kinematic,8,300,0,tabicl_released,0.49715782972623085,0.22348904609680176,
kinematic,8,300,0,tabicl_m,0.4893592775133229,0.2874107360839844,
kinematic,8,300,1,tabicl_released,0.4249124085045113,0.22022032737731934,
kinematic,8,300,1,tabicl_m,0.44468707999493967,0.28810739517211914,
kinematic,8,300,2,tabicl_released,0.5316149663844432,0.22368478775024414,
kinematic,8,300,2,tabicl_m,0.5177187274824799,0.28721022605895996,
kinematic,8,1000,0,tabicl_released,0.30002372511577424,0.2574160099029541,
kinematic,8,1000,0,tabicl_m,0.32862224978226634,0.32562875747680664,
kinematic,8,1000,1,tabicl_released,0.27468231794199666,0.25725436210632324,
kinematic,8,1000,1,tabicl_m,0.2886627240481963,0.32662129402160645,
kinematic,8,1000,2,tabicl_released,0.3463122243335197,0.2571420669555664,
kinematic,8,1000,2,tabicl_m,0.3358367532450344,0.326474666595459,
kinematic,8,3000,0,tabicl_released,0.2001735310241803,0.31690239906311035,
kinematic,8,3000,0,tabicl_m,0.19807029251383174,0.3432328701019287,
kinematic,8,3000,1,tabicl_released,0.1938898765322568,0.2702798843383789,
kinematic,8,3000,1,tabicl_m,0.2076766719597678,0.34015440940856934,
kinematic,8,3000,2,tabicl_released,0.1766457242966634,0.27141427993774414,
kinematic,8,3000,2,tabicl_m,0.17899931124484744,0.3403282165527344,
step,1,300,0,tabicl_released,0.046939589989848235,0.20585966110229492,
step,1,300,0,tabicl_m,0.04317336308564029,0.26747608184814453,
step,1,300,1,tabicl_released,0.0340723869678528,0.20584392547607422,
step,1,300,1,tabicl_m,0.04688813043120483,0.26695990562438965,
step,1,300,2,tabicl_released,0.052666922154246475,0.2025468349456787,
step,1,300,2,tabicl_m,0.054087984203709194,0.26778697967529297,
step,1,1000,0,tabicl_released,0.039773808772215306,0.2263200283050537,
step,1,1000,0,tabicl_m,0.060458328763125874,0.29018235206604004,
step,1,1000,1,tabicl_released,0.08437685134906621,0.22861433029174805,
step,1,1000,1,tabicl_m,0.07404240643269269,0.29236340522766113,
step,1,1000,2,tabicl_released,0.050008382000435544,0.22652339935302734,
step,1,1000,2,tabicl_m,0.049230706139381325,0.2916431427001953,
step,1,3000,0,tabicl_released,0.011888553597297097,0.23315167427062988,
step,1,3000,0,tabicl_m,0.026397323626625512,0.29642796516418457,
step,1,3000,1,tabicl_released,0.029064599182775205,0.27199673652648926,
step,1,3000,1,tabicl_m,0.050709959298525314,0.2967815399169922,
step,1,3000,2,tabicl_released,0.016658291630096245,0.22897028923034668,
step,1,3000,2,tabicl_m,0.042420387944885264,0.2937495708465576,
step,8,300,0,tabicl_released,0.19907173862628147,0.2214045524597168,
step,8,300,0,tabicl_m,0.20690293356938624,0.29215168952941895,
step,8,300,1,tabicl_released,0.23442506504310123,0.221099853515625,
step,8,300,1,tabicl_m,0.24663666121015107,0.28772568702697754,
step,8,300,2,tabicl_released,0.16636079761170813,0.22442626953125,
step,8,300,2,tabicl_m,0.16646956078943187,0.28885316848754883,
step,8,1000,0,tabicl_released,0.1357290883400395,0.2577214241027832,
step,8,1000,0,tabicl_m,0.14703248638976124,0.3262631893157959,
step,8,1000,1,tabicl_released,0.0950024885044679,0.2597215175628662,
step,8,1000,1,tabicl_m,0.09945415897568435,0.3271360397338867,
step,8,1000,2,tabicl_released,0.07743258139706265,0.25821661949157715,
step,8,1000,2,tabicl_m,0.08135698734945872,0.32843923568725586,
step,8,3000,0,tabicl_released,0.06912747924019763,0.2700512409210205,
step,8,3000,0,tabicl_m,0.07493485010378305,0.33931684494018555,
step,8,3000,1,tabicl_released,0.0791596068108016,0.27051711082458496,
step,8,3000,1,tabicl_m,0.10978127529861761,0.3417479991912842,
step,8,3000,2,tabicl_released,0.11193419442291105,0.31036853790283203,
step,8,3000,2,tabicl_m,0.11635057108000806,0.3406553268432617,
linear_noisy,1,300,0,tabicl_released,0.4579652048306659,0.20616817474365234,
linear_noisy,1,300,0,tabicl_m,0.4582828059013989,0.2659878730773926,
linear_noisy,1,300,1,tabicl_released,0.4357235084118106,0.20415520668029785,
linear_noisy,1,300,1,tabicl_m,0.43680696456890117,0.267012357711792,
linear_noisy,1,300,2,tabicl_released,0.4338699718695689,0.20209074020385742,
linear_noisy,1,300,2,tabicl_m,0.43420211431344313,0.2680974006652832,
linear_noisy,1,1000,0,tabicl_released,0.4565775155045426,0.22483205795288086,
linear_noisy,1,1000,0,tabicl_m,0.4577476970826113,0.28811144828796387,
linear_noisy,1,1000,1,tabicl_released,0.4373867120585727,0.2244729995727539,
linear_noisy,1,1000,1,tabicl_m,0.4383778705971582,0.295454740524292,
linear_noisy,1,1000,2,tabicl_released,0.43071817943209584,0.22382068634033203,
linear_noisy,1,1000,2,tabicl_m,0.43286359415605413,0.2898828983306885,
linear_noisy,1,3000,0,tabicl_released,0.4578952009387822,0.22720575332641602,
linear_noisy,1,3000,0,tabicl_m,0.4577097626034571,0.29430389404296875,
linear_noisy,1,3000,1,tabicl_released,0.4534629630680983,0.2281661033630371,
linear_noisy,1,3000,1,tabicl_m,0.45394818718269636,0.29495811462402344,
linear_noisy,1,3000,2,tabicl_released,0.42089240527634497,0.22948217391967773,
linear_noisy,1,3000,2,tabicl_m,0.4212445285826861,0.29609227180480957,
linear_noisy,8,300,0,tabicl_released,0.4756879223212034,0.26390504837036133,
linear_noisy,8,300,0,tabicl_m,0.47407116812168354,0.2876918315887451,
linear_noisy,8,300,1,tabicl_released,0.4762909572789277,0.22113037109375,
linear_noisy,8,300,1,tabicl_m,0.4750634818274551,0.2868368625640869,
linear_noisy,8,300,2,tabicl_released,0.47607901921805174,0.22026515007019043,
linear_noisy,8,300,2,tabicl_m,0.4763564508598014,0.2868638038635254,
linear_noisy,8,1000,0,tabicl_released,0.460262398716092,0.25582051277160645,
linear_noisy,8,1000,0,tabicl_m,0.46116819689560495,0.3248414993286133,
linear_noisy,8,1000,1,tabicl_released,0.47149195610436423,0.25606870651245117,
linear_noisy,8,1000,1,tabicl_m,0.47133972027969084,0.3259236812591553,
linear_noisy,8,1000,2,tabicl_released,0.4369920025367068,0.2570769786834717,
linear_noisy,8,1000,2,tabicl_m,0.439233323423063,0.32515549659729004,
linear_noisy,8,3000,0,tabicl_released,0.42869303589370966,0.26894617080688477,
linear_noisy,8,3000,0,tabicl_m,0.4284641852473011,0.3399009704589844,
linear_noisy,8,3000,1,tabicl_released,0.4286122622516738,0.2700676918029785,
linear_noisy,8,3000,1,tabicl_m,0.4301042477174219,0.3390944004058838,
linear_noisy,8,3000,2,tabicl_released,0.4430188157968683,0.2716097831726074,
linear_noisy,8,3000,2,tabicl_m,0.4431628451607701,0.33928394317626953,
