,method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
39,CHIMERA (default),1283.3,52.5,51.7,41.470588235294116,0.5182072829131653,0.18394072731984415,0.07176108764644959,0.04705071780818587,0.03842308849397577,0.0,0.0,1.0,50.0,14.347385135351443,0.4173607919730392,5.8401526271144375,0.07679269898943925,0.835689820479724,0.835689820479724,0.0,43.0,0.10058666130673377,0.09882323168417152,0.20860003589702147,11.435768127441406,0.1045839786529541,2.538410960774762,0.04996058681851744,1.0,1.0,0.0,config,default,CHIMERA,ChimeraBoost,tabarena-2026-08-10
40,XRFM_GPU (tuned),1280.8,54.0,45.0,41.705882352941174,0.5154061624649859,0.18002590455802223,0.06308637226038658,0.04556407778633187,0.04750868624165104,1.0,0.0,0.0,50.0,14022.497099048951,2.329889568628049,1406.561756989208,0.2649491271438143,0.8487973442497669,0.8487973442497669,0.0,42.0,0.12224631748670567,0.10827182726270139,0.21295479316671043,2211.918614625931,0.10966825485229492,866.1169883185313,0.09700742740075566,0.9801945653638465,0.9801945653638465,0.0,hpo,tuned,XRFM_GPU,xRFM_GPU,tabarena-2025-09-03
41,TABDPT_GPU (default),1276.8,68.2,67.2,42.068627450980394,0.5110877684407096,0.1826259730530773,0.056256197012352904,0.04179297992988104,0.03883606715021315,0.0,0.0,0.0,51.0,583.167813721825,268.76904352506,46.99302913298208,42.026423937944756,0.7984537837404331,0.7984537837404331,0.0,42.0,0.11121872477804662,0.10611111111111222,0.2109085410496047,262.5377552509308,105.11247444152832,45.41610881339672,39.404911507607515,0.993687834736037,0.993687834736037,0.0,config,default,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
42,TA-TABM (default),1271.9,45.8,50.2,42.51960784313726,0.505718954248366,0.18023189251032862,0.0637124974287101,0.04096755951527464,0.033597944513270465,0.0,0.0,0.0,51.0,65.02894820419013,0.9653628713944379,12.725535761037357,0.5465033488529132,0.8580465586789008,0.8580465586789008,0.0,43.0,0.10495327661439802,0.09835632198791032,0.2120300751879699,19.638857126235962,0.3668477535247803,7.805060016481502,0.2369687802609225,1.0,1.0,0.0,config,default,TA-TABM,TabM,tabarena-2026-06-26
43,TABICL_GPU (default),1271.8,55.4,60.6,42.529411764705884,0.5056022408963585,0.18210173842187635,0.05167269415514658,0.044537807206617236,0.045853884385059905,0.0,1.0,1.0,49.0,89.99167278701184,15.994201370314055,7.673104193287245,1.7319044900729845,0.8277868584754231,0.8277868584754231,0.29411764705882354,42.5,0.1094830068070054,0.11198863824613005,0.2089949379627024,19.30116367340088,1.4308764934539795,6.856698312130071,1.5195481526734036,1.0,1.0,0.0,config,default,TABICL_GPU,TabICL_GPU,tabarena-2025-06-12
44,EBM (tuned + ensemble),1254.4,49.7,51.7,44.13725490196079,0.4864612511671335,0.19185407358159906,0.07281513229816039,0.052607096600525344,0.03126685278096993,0.0,0.0,0.0,51.0,52874.45252688726,2.34197577308206,14019.90900467862,0.9345767231489502,0.8768350026899604,0.8768350026899604,0.0,46.0,0.11975822644000256,0.11034568659464906,0.21296720061022123,3882.65318107605,0.3923764228820801,1877.6824729228317,0.13965064361109666,1.0,1.0,0.0,hpo,tuned_ensemble,EBM,ExplainableBM,tabarena-2026-07-13
45,TABPFNV2_GPU (tuned),1252.1,68.9,57.9,44.35294117647059,0.4838935574229692,0.19000573761680167,0.05843752407917624,0.04290101589148329,0.03443019619309741,0.0,0.0,0.0,51.0,9280.937638614692,4.082395156224568,2836.5315057319253,1.9947555562006891,0.8267145464193884,0.8267145464193884,0.35294117647058826,49.0,0.12492053401144276,0.12227009813796817,0.22794871794871796,1926.0209152698517,0.3721911907196045,2943.3924917131662,0.2619314172957417,1.0,1.0,0.0,hpo,tuned,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
46,NN_TORCH (tuned + ensemble),1246.5,47.6,53.1,44.86274509803921,0.4778244631185808,0.18097650360817824,0.06406995225178758,0.0459887039195446,0.026349550748421817,0.0,0.0,0.0,51.0,29357.971773493522,13.246924213334626,3695.047548553409,3.449133243784533,0.8886637169231258,0.8886637169231258,0.0,46.0,0.10090636577190826,0.10439259502683779,0.2137517707311758,10620.000384569168,3.6842262744903564,2832.926208982787,1.800873875617981,1.0,1.0,0.0,hpo,tuned_ensemble,NN_TORCH,NeuralNetTorch,tabarena-2025-06-12
47,REALMLP_GPU (default),1242.9,42.3,48.8,45.19607843137255,0.4738562091503268,0.18734607677804466,0.0626844622920073,0.043620746676105326,0.028999632690652973,0.0,0.0,0.0,51.0,102.1361764272054,4.232743627884808,14.839839205722386,4.080205728674661,0.9047933949958792,0.9047933949958792,0.0,47.0,0.12688532336086744,0.12354188332231962,0.2103846153846154,50.43063545227051,3.636448621749878,10.443531274795534,1.714346009462618,1.0,1.0,0.0,config,default,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
48,SAP-RPT-OSS (default),1240.7,67.2,66.0,45.40196078431372,0.4714052287581699,0.19740389339423528,0.0833180976293236,0.052262188472012416,0.042228737423312554,0.0,1.0,0.0,50.0,368.97079745460957,164.92526029605492,22.3468034298531,10.989534989630988,0.8355858109434744,0.8355858109434744,0.0,52.0,0.12495013960909396,0.11869281950484656,0.21191281899820846,32.63795757293701,6.255738019943237,13.957656281335014,2.080574737587556,1.0,1.0,0.0,config,default,SAP-RPT-OSS,SAP-RPT-OSS,tabarena-2025-11-25
49,BETA_GPU (default),1236.9,62.3,56.6,45.754901960784316,0.46720354808590103,0.1981798705993981,0.06894435123479972,0.05358147687347331,0.03042315159631578,0.0,0.0,0.0,51.0,1320.6601685963426,7.102449641508215,225.53498242379698,2.1957586686297246,0.8601761660120095,0.8601761660120095,0.2549019607843137,50.0,0.13717074309597976,0.12343966712898653,0.20819570099499296,470.0780863761902,2.2111573219299316,202.99939039458118,1.1550205733112757,1.0,1.0,0.0,config,default,BETA_GPU,BetaTabPFN_GPU,tabarena-2025-09-03
